isTradeNameOf                           domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
isTransliterationOf                     domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
sameAs                                  domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
scientificNameOf                        domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                




INVERSEOF TABLE:

pairs of INVERSE properties from the aos common vocabulary. I'll use them to only assert only triples modeled
after those properties on the left (the triples for those on the right are redundant and will be computed
through reasoning)
Notes:
NO REDUNDANCY: 1) no inverseOf themselves (cause of Symmetry) 2) one direction only
 																																 (i.e. only X invOf Y and not Y invOf X)
PREFERENCE: properties starting with "has" have been put on the left (only those triples will be converted)
						I manually flipped some of them whenever I preferred the right one to be on the left

aosc:hasScopenoteRelatedToConcept       |                  aosc:isReferencedInConceptScopenote                                   
aosc:hasTradeName                       |                  aosc:isTradeNameOf                                                    
aosc:hasScopenoteRelatedToTerm          |                  aosc:isTermReferencedInScopenote                                      
aosc:affects                            |                  aosc:isAffectedBy                                                     
aosc:actsUpon                           |                  aosc:isActedUponBy                                                    
aosc:hasImage                           |                  aosc:isImageOf                                                        
aosc:spatiallyIncludes                  |                  aosc:isSpatiallyIncludedIn                                            
aosc:hasScientificName                  |                  aosc:scientificNameOf                                                 
aosc:hasPhysiologicalFunction           |                  aosc:isPhysiologicalFunctionOf                                        
aosc:afflicts                           |                  aosc:isAfflictedBy                                                    
aosc:hasHost                            |                  aosc:isHostFor                                                        
aosc:hasSymptom                         |                  aosc:indicates                                                        
aosc:hasBiologicalControlAgent          |                  aosc:isBiologicalControlAgentOf                                       
aosc:performs                           |                  aosc:isPerformedBy                                                    
aosc:hasSubOrder                        |                  aosc:includesGreatGroup                                               
aosc:formerlyIncludes                   |                  aosc:formerlyIncludedIn                                               
aosc:isUsedAs                           |                  aosc:isUseOf                                                          
aosc:hasPropagationMaterial             |                  aosc:isPropagationMaterialOf                                          
aosc:isOutputFrom                       |                  aosc:isInputFor                                                       
aosc:isDerivedFrom                      |                  aosc:isSourceOf                                                       
aosc:hasRelatedType                     |                  aosc:isRelatedTypeOf                                                  
aosc:hasGoalOrProcess                   |                  aosc:isAchievedByMeansOf                                              
aosc:hasCategory                        |                  aosc:belongsToScheme                                                  
aosc:prevents                           |                  aosc:isPreventedBy                                                    
aosc:hasSymbol                          |                  aosc:isSymbolFor                                                      
aosc:study                              |                  aosc:isStudiedBy                                                      
aosc:smallerThan                        |                  aosc:greaterThan                                                      
aosc:hasBroaderSynonym                  |                  aosc:hasNarrowerSynonym                                               
aosc:hasCropingSystem                   |                  aosc:isCropingSystemOf                                                
aosc:hasProduct                         |                  aosc:productOf                                                        
aosc:hasTheme                           |                  aosc:isThemeOf                                                        
aosc:measures                           |                  aosc:isMeasuredBy                                                     
aosc:hasType                            |                  aosc:typeOf                                                           
aosc:hasPart                            |                  aosc:isPartOf                                                         
aosc:sameAs                             |                  aosc:correspondsTo                                                    
aosc:usingValue                         |                  aosc:valueUsedIn                                                      
aosc:hasFamily                          |                  aosc:includesGenus                                                    
aosc:hasDefinition                      |                  aosc:isDefinitionOf                                                   
aosc:hasPostProductionPractice          |                  aosc:isPostProductionPracticeFor                                      
aosc:hasCultivationProcess              |                  aosc:isCultivationProcessOf                                           
aosc:causes                             |                  aosc:isCausedBy                                                       
aosc:hasOrder                           |                  aosc:includesFamily                                                   
aosc:hasPathogen                        |                  aosc:isPathogenOf                                                     
aosc:hasAbbreviation                    |                  aosc:isAbbreviationOf                                                 
aosc:hasPortion                         |                  aosc:isPortionOf                                                      
aosc:hasParent                          |                  aosc:isParentOf                                                       
aosc:hasClass                           |                  aosc:includesOrder                                                    
aosc:hasLocalName                       |                  aosc:isLocalNameOf                                                    
aosc:hasSubstitute                      |                  aosc:isSubstituteFor                                                  
aosc:growsln                            |                  aosc:isAGrowthEnvironmentFor                                          
aosc:hasGreatGroup                      |                  aosc:includesSubGroup                                                 
aosc:produces                           |                  aosc:isProducedBy                                                     
aosc:hasGenus                           |                  aosc:includesSpecies                                                  
aosc:controls                           |                  aosc:isControlledBy                                                   
aosc:hasMappedDomainConcept             |                  aosc:belongsToCategory                                                
aosc:hasWeed                            |                  aosc:isWeedOf                                                         
aosc:hasSpecies                         |                  aosc:includesSubspecies                                               
aosc:usesProcess                        |                  aosc:isProcessFor                                                     
aosc:makeUseOf                          |                  aosc:isUsedIn                                                         
aosc:includesSubprocess                 |                  aosc:isSubprocessOf                                                   
aosc:surroundedBy                       |                  aosc:surrounds                                                        
aosc:isMadeFrom                         |                  aosc:isUsedToMake                                                     
aosc:hasChemicalFormula                 |                  aosc:isChemicalFormulaOf                                              
aosc:publishes                          |                  aosc:isPublishedBy                                                    
aosc:isComposedOf                       |                  aosc:compose
aosc:hasObjectOfActivity                |                  aosc:isObjectOfActivity                                               
aosc:benefitsFrom                       |                  aosc:isBeneficialFor                                                  
aosc:hasAcronym                         |                  aosc:isAcronymOf                                                      
aosc:hasNaturalEnemy                    |                  aosc:isNaturalEnemyOf                                                 
aosc:hasPest                            |                  aosc:pestOf                                                           
aosc:hasInfectionPart                   |                  aosc:isInfectedPartOf                                                 
aosc:hasMember                          |                  aosc:isMemberOf                                                       
aosc:hasDialectalVariant                |                  aosc:isDialectalVariantOf                                             
aosc:hasTaxonomicLevel                  |                  aosc:isTaxonomicLevelOf                                               
aosc:hasDisorder                        |                  aosc:isDisorderOf                                                     
aosc:hasTransliteration                 |                  aosc:isTransliterationOf                                              
aosc:includes                           |                  aosc:isIncludedIn                                                     
aosc:isMeansFor                         |                  aosc:isPerformedByMeansOf                                             
aosc:hasPropagationProcess              |                  aosc:isPropagationProcessOf                                           
aosc:influences                         |                  aosc:isInfluencedBy                                                   
aosc:hasOldName                         |                  aosc:isOldNameOf                                                      
aosc:hasProperty                        |                  aosc:isPropertyOf                                                     
aosc:hasDisease                         |                  aosc:isDiseaseFor                                                     
aosc:hasControlMethod                   |                  aosc:isControlMethodOf                                                
aosc:hasPractice                        |                  aosc:isPracticeFor                                                    
aosc:hasBreedingMethod                  |                  aosc:isBreedingMethodOf                                               
aosc:hasComposition                     |                  aosc:isCompositionOf                                                  
aosc:hasComponent                       |                  aosc:isComponentOf                                                    
aosc:developsInto                       |                  aosc:developsFrom                                                     
aosc:follows                            |                  aosc:precedes                                                         
aosc:hasSubCategory                     |                  aosc:isSubCategoryOf                                                  
aosc:hasLexicalization                  |                  aosc:isLexicalizationOf    







*******************************************
							CONVERSION:
*******************************************

************************************
		REMOVED FOR VARIOUS REASONS
************************************

DROPPED PROPERTIES
WBObjectProperty                        domain:                                                                       range:     

INVERSE PROPERTIES REMOVED MANUALLY:
isDefinitionOf                          domain: aosc:c_definition	                                                    range: aosc:c_category	 
isImageOf                               domain: aosc:c_image	                                                        range: aosc:c_domain_concept	                                                      
                                                                                       

  
************************************
CONVERTED
************************************  
  

GENERIC OBJECT PROPERTIES BETWEEN C_DOMAIN_CONCEPTS
											[includes both domain AND range as EITHER c_domain_concept OR the redundant c_category]
FROM THESE, I have to remove inside the program all the properties on the right side of the INVERSEOF TABLE
																																									(see INVERSEOF TABLE above)

hasMappedDomainConcept                  domain: aosc:c_category	                                                      range: aosc:c_domain_concept	                                                    
belongsToCategory                       domain: aosc:c_domain_concept	                                                range: aosc:c_category	                                                      
isParentOf                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasParent                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasType                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
typeOf                                  domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	   
actsUpon                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
affects                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
afflicts                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
benefitsFrom                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
bibliographicRelationship               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
causativeRelationship                   domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
causes                                  domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
compose                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
controls                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
developsFrom                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
developsInto                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
essiveRelationship                      domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
follows                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
formerlyIncludedIn                      domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
formerlyIncludes                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
greaterThan                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
growsln                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasAntonym                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasBiologicalControlAgent               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasBreedingMethod                       domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasClass                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasComponent                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasComposition                          domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasControlMethod                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasCropingSystem                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasCultivationProcess                   domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasDisease                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasDisorder                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasFamily                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
